temperature_K,pointwise_pressure_GPa,zero_scha_A1,zero_scha_chi_soft,lattice_matched_scha_A1,lattice_matched_scha_chi_soft,zero_post_delta_A1,zero_post_delta_A1_iid_se_diagnostic,zero_post_delta_over_A1,zero_post_A1,zero_post_dyson_stable,zero_post_chi_dyson,zero_post_chi_linearized,zero_effective_vertex_xxxx,zero_effective_vertex_xxyy,lattice_matched_post_delta_A1,lattice_matched_post_delta_A1_iid_se_diagnostic,lattice_matched_post_delta_over_A1,lattice_matched_post_A1,lattice_matched_post_dyson_stable,lattice_matched_post_chi_dyson,lattice_matched_post_chi_linearized,lattice_matched_effective_vertex_xxxx,lattice_matched_effective_vertex_xxyy
680.0,-2.7802743782872925,0.02398989104284987,10.273621003316011,0.0199050731684957,12.381921251873056,-0.04579605895600601,0.0011792209869246116,-1.9089731951765334,-0.021806167913156142,False,nan,29.885688116048918,6.576223292904793,1.9430878592793737,-0.08748912748029294,0.0024893041228878526,-4.395318054834602,-0.06758405431179725,False,nan,66.80440328377095,7.911687858405465,2.3946982961680225
690.0,-2.8365869462846303,0.024525340880259327,10.049322033418319,0.0203566707885425,12.107237526472343,-0.046759592036502345,0.001189046780213351,-1.9065827571897103,-0.02223425115624302,False,nan,29.20918614378032,6.651366542413559,1.96852166398605,-0.08958626248440649,0.002517565913078081,-4.400830735781659,-0.06922959169586398,False,nan,65.38914055838093,8.010664591390462,2.428138853024775
700.0,-2.892996062116399,0.025061834163197325,9.834198362345319,0.02080932146521288,11.84387722094156,-0.047733080365021954,0.0011989394918509363,-1.9046124100173316,-0.02267124620182463,False,nan,28.56453460584033,6.72646462968542,1.9939371370873618,-0.09170480980478263,0.002545883713669633,-4.4069101415962235,-0.07089548833956974,False,nan,64.03877986172941,8.109518868326191,2.4615344201334697
710.0,-2.9494998934812533,0.02559934656907654,9.627708575296493,0.021263001962416435,11.59116896667378,-0.04871641182652169,0.0012088925843170603,-1.9030334112266,-0.02311706525744515,False,nan,27.949559667638567,6.801512700577005,2.019332712467817,-0.09384453435277776,0.0025742470011335017,-4.413512942276604,-0.07258153239036133,False,nan,62.74894321720345,8.20824612976142,2.4948835568362036
720.0,-3.0060966529381856,0.026137854613575182,9.429352643084941,0.021717689811322476,11.348492893410423,-0.04970947705243606,0.0012188999998800102,-1.9018193263122105,-0.023571622438860875,False,nan,27.362277734317008,6.876506185806804,2.0447069181665425,-0.09600520629497883,0.002602646036610802,-4.420599388288836,-0.07428751648365635,False,nan,61.515633636020745,8.306842142636908,2.5281849293343672
730.0,-3.0627845970330934,0.026677335601361322,9.238668065206191,0.022173363267488616,11.115275815936235,-0.050712169259531654,0.0012289561179271804,-1.9009458072321082,-0.024034833658170333,False,nan,26.80087538816907,6.95144078388431,2.07005837066533,-0.09818660083560374,0.002631071798206509,-4.428132965266864,-0.07601323756811512,False,nan,60.33519507451702,8.405302979112209,2.5614373036686073
740.0,-3.119562025387169,0.0272177675809321,9.055226434432088,0.02263000127142498,10.890986948210879,-0.05172438410342589,0.0012390557168611034,-1.9003903957083659,-0.02450661652249379,False,nan,26.263691781391337,7.0263124452064325,2.0953857695712097,-0.1003884980137182,0.0026595159203078025,-4.436080087210568,-0.07775849674229322,False,nan,59.20427727923935,8.503624996894105,2.5946395392010553
750.0,-3.1764272797526782,0.02775912930312999,8.878630370344325,0.023087583412256894,10.675134078963028,-0.05274601954522054,0.0012491939399967814,-1.900132348145125,-0.02498689024209055,False,nan,25.74920314425931,7.101117357233113,2.1206878926634865,-0.1026106825136485,0.0026879706390701467,-4.444409823298087,-0.0795230991013916,False,nan,58.119804844530485,8.601804820944936,2.6277905825588608
760.0,-3.2333787430502996,0.02830140018296813,8.708510776558938,0.023546089894173606,10.467260152016639,-0.0537769757297869,0.0012593662649718579,-1.9001524794575375,-0.02547557554681877,False,nan,25.256009121020092,7.17585193065751,2.1459635912763986,-0.10485294348740534,0.002716428743339483,-4.453093654133666,-0.08130685359323174,False,nan,57.07894991112813,8.699839326465748,2.660889462003529
770.0,-3.2904148383904914,0.028844560264438306,8.544524382607518,0.024005501505399526,10.266940202421868,-0.05481715487442321,0.0012695684762484825,-1.900433023484356,-0.0259725946099849,False,nan,24.782820689282126,7.250512786493406,2.1712117859910514,-0.10711507438788107,0.0027448835303718003,-4.462105253822246,-0.08310957288248154,False,nan,56.07910802032732,8.797725623052823,2.6939352821920135
780.0,-3.3475340280907995,0.029388590187992163,8.386351536719411,0.024465799589442946,10.073778606092828,-0.05586646116691514,0.0012797966403467061,-1.9009575079835415,-0.026477870978922978,False,nan,24.328449455035486,7.325096744015191,2.196431462614609,-0.10939687281192201,0.002773328765802068,-4.471420294766374,-0.08493107322247906,False,nan,55.11787671035962,8.895461039939915,2.726927219299963
790.0,-3.4047348126886763,0.02993347116059836,8.23369422018473,0.024926966018415184,9.887406606283598,-0.056924800670892436,0.001290047083464169,-1.9017106424270285,-0.026991329510294076,False,nan,23.891798145199946,7.399600809443831,2.2216216684106014,-0.11169814035231493,0.0028017586473810864,-4.481016272489648,-0.08677117433389975,False,nan,54.193036501762045,8.993043112241432,2.759864516478693
800.0,-3.4620157299602803,0.030479184927617926,8.086274258002186,0.025388983168224823,9.707480085044995,-0.05799208124138262,0.0013003163713067604,-1.9026782172522794,-0.027512896313764697,False,nan,23.47185214743078,7.474022165462111,2.246781508608393,-0.11401868245800939,0.0028301677720658177,-4.490872348157198,-0.08862969928978456,False,nan,53.302533969260246,9.090469568123135,2.7927464796212114
