x_ba,temperature_K,T0_reference_K,curie_constant_reference_K,epsilon_r_reference_10kHz,chi_soft_reference_10kHz,p_fit_GPa,A1_u_zero,chi_soft_zero,epsilon_r_zero,A1_u_fit,chi_soft_fit,epsilon_r_fit,relative_error_fit
0.5,310.0,230.0,100000.0,1250.0,98.94148954599764,-1.0728143541060722,0.003778692541760026,61.477770696725045,779.217024347887,0.002183346803397856,106.39885209908934,1343.7119816477941,0.07496958531823528
0.5,320.0,230.0,100000.0,1111.111111111111,87.88906294239379,-1.0306276748459626,0.004046414241589709,57.41023527153325,728.102866707892,0.002491402968476264,93.24288224551066,1178.3891886763877,0.060550269808749
0.5,330.0,230.0,100000.0,1000.0,79.04712165951072,-0.9884409955858531,0.004312296315204384,53.870508108795796,683.621343307219,0.0028015405158393256,82.92066179387399,1048.6763409180035,0.04867634091800355
0.5,340.0,230.0,100000.0,909.0909090909091,71.81280606442458,-0.9462543163257435,0.0045762559388786254,50.763243297242816,644.5743020882874,0.0031131047511561627,74.62183645746998,944.3902260769167,0.038829248684608464
0.5,350.0,230.0,100000.0,833.3333333333334,65.78420973518611,-0.9040676370656342,0.00483823168456694,48.01456580857004,610.0334020662792,0.003425574214733918,67.81508122538001,858.8540171492458,0.03062482057909488
0.5,360.0,230.0,100000.0,769.2307692307693,60.683089764292035,-0.8618809578055247,0.0050981793790361735,45.56638288778024,579.2686281518903,0.0037385301794847087,62.138215411642676,787.5164174058368,0.023771342627587844
0.5,370.0,230.0,100000.0,714.2857142857143,56.31070121781139,-0.8196942785454151,0.005356068836329601,43.372406276791246,551.6983049389668,0.004051634153752572,57.33627094652402,727.173403587585,0.018042765022618923
0.5,380.0,230.0,100000.0,666.6666666666666,52.5212978108615,-0.7775075992853056,0.005611881256401906,41.39531522530686,526.8534460476809,0.004364611027125054,53.224810222955064,675.5072643688362,0.013260896553254353
0.5,390.0,230.0,100000.0,625.0,49.205569829780345,-0.735320920025196,0.00586560713758943,39.604697035883966,504.35187425058007,0.004677236265899114,49.66727794134459,630.8019952455721,0.009283192392915307
0.5,400.0,230.0,100000.0,588.2352941176471,46.27992749353227,-0.6931342407650867,0.006117244589449852,37.97552806967951,483.87913322784254,0.00498932606175683,46.56051553663122,591.7612674571862,0.005994154677216645
0.5,410.0,230.0,100000.0,555.5555555555555,43.67935652797842,-0.6509475615049771,0.006366797960457065,36.487037135236974,465.1742044895238,0.005300729665560002,43.82521054131249,557.388411142703,0.0032991400568653795
0.5,420.0,230.0,100000.0,526.3157894736842,41.352529874588136,-0.6087608822448676,0.006614276715402325,35.12184379507285,448.0186790167665,0.005611323359421615,41.39943088927472,526.9051650064252,0.0011198135122081343
0.5,430.0,230.0,100000.0,500.0,39.258385886536885,-0.566574202984758,0.006859694512368171,33.865297236909925,432.22844927269375,0.005921005671955003,39.23414475281952,499.6953769295953,-0.0006092461408094829
0.5,440.0,230.0,100000.0,476.1904761904762,37.36368418306194,-0.5243875237246485,0.007103068440340676,32.70496343473303,417.64726467817036,0.006229693547366897,37.290051565046326,475.2651814231864,-0.0019431190113086139
0.5,450.0,230.0,100000.0,454.54545454545456,35.64122808899381,-0.4822008444645389,0.007344418386962622,31.630223303743584,404.14168187803205,0.006537319253873453,35.535298888470784,453.2143089527994,-0.0029285203038413865
0.5,460.0,230.0,100000.0,434.7826086956522,34.068550785714216,-0.4400141652044296,0.007583766512349837,30.631954878548587,391.59707087441905,0.006843827870562536,33.94381010296411,433.21507104552614,-0.003605336595289943
